gene,260Sch-1_S13,260Sch-2_S14,260Sch-3_S15,820LT-1_S1,820LT-2_S2,820LT-3_S3,820Sch-1_S10,820Sch-2_S11,820Sch-3_S12,G260-1_S4,G260-2_S5,G260-3_S6,G260sch-1-23468787,G260sch-2-23468788,G260sch-3-23468793
PBANKA_0940100,11733,10325,10630,9437,4703,10147,10487,11003,7955,8776,10344,9063,6870,5176,6246
PBANKA_0940200,4978,4123,4610,3360,1423,3610,3641,3586,2547,3031,3676,3226,2170,1674,2080
PBANKA_0940300,4612,3941,4128,3825,2022,4022,3439,3818,2398,3701,4675,3850,1617,1370,1586
PBANKA_0940400,1748,1406,1476,2295,1042,2236,1321,1232,891,2126,2474,1995,388,337,336
PBANKA_0940500,172,77,139,215,75,205,128,142,107,166,249,229,23,25,26
PBANKA_0940600,5136,4011,4354,4524,1939,5477,3230,3338,2710,3786,5083,3734,975,1085,1589
PBANKA_0940700,3513,3149,3090,2638,1260,3190,2542,2573,2039,2492,3326,2496,1311,1159,1254
PBANKA_0940800,3720,2989,3650,1871,985,2395,2477,2377,1970,1495,1808,1532,1173,1093,1583
PBANKA_0940900,14157,11601,12080,10807,6065,14854,7437,7688,5920,11906,14720,11353,3661,3642,5071
PBANKA_0941000,49,57,32,77,38,35,98,160,85,20,40,26,19,15,10
PBANKA_0941100,16644,14880,15009,12235,6447,17020,15320,14605,11527,12159,15014,12578,8438,6756,11473
PBANKA_0941200,8770,8550,7375,7262,3773,9894,6680,6774,5492,7927,9875,7639,13828,7325,10841
PBANKA_0941300,7473,7210,5568,4530,2132,4740,20729,21572,17209,4236,4831,4538,30221,14509,17230
PBANKA_0941400,1412,1155,1199,462,233,406,2434,2486,1853,352,362,311,1689,1123,1785
PBANKA_0941500,33298,29712,30242,38202,23749,53074,32206,35841,27982,47815,54148,48598,25847,15771,21812
PBANKA_0941600,14685,14488,14574,2508,871,2231,29358,29388,19585,1741,2207,1808,11939,9907,11299
PBANKA_0941700,714,750,704,124,68,46,2398,3029,2064,31,35,30,1014,744,882
PBANKA_0941800,69992,74654,75512,9261,5193,13251,105082,86828,67135,11048,12466,10550,95252,84496,141274
PBANKA_0941900,57596,69086,64338,7133,4199,11377,111147,101380,72586,10417,11763,10082,159384,123742,214349
PBANKA_0942000,2744,2992,2661,489,179,307,5957,5654,3490,291,449,361,5029,4003,5810
