gene,ERR022872,ERR022873,ERR022874,ERR022875,ERR022876,ERR022877,ERR022878,ERR022879,ERR022880,ERR022881,ERR022882,ERR022883
gene:Smp_172520,0,76,0,0,14,0,0,0,36,52,58,45
gene:Smp_172530,145,592,110,70,301,225,189,587,699,525,432,431
gene:Smp_172540,1470,839,764,1237,2741,2892,2354,3866,4367,3984,3122,3609
gene:Smp_172580,527,1117,207,695,800,1984,1497,1573,6487,5244,6585,6586
gene:Smp_172590,417,2789,347,100,1413,600,341,1992,4623,2394,2073,2782
gene:Smp_172610,4,49,7,2,10,33,27,64,114,70,102,131
gene:Smp_172640,119,20,45,74,183,220,83,326,60,123,37,91
gene:Smp_172660,1332,936,440,1029,1558,1989,1354,2000,1935,1496,1125,1512
gene:Smp_172700,253,198,204,189,735,580,455,2055,2379,1684,1667,1830
gene:Smp_172730,1657,2742,618,1064,2244,2676,1798,2838,2601,1783,1898,2140
gene:Smp_172780,536,619,203,285,842,1488,1039,1212,2586,2088,1591,2135
gene:Smp_172790,299,611,235,145,786,882,576,1781,2224,1935,2022,1970
gene:Smp_172810,119,310,28,134,132,322,251,504,799,600,505,632
gene:Smp_172850,776,1099,402,518,1564,2082,1422,2089,2806,2069,1744,2203
gene:Smp_172990,401,675,223,257,1049,1341,818,4562,4352,4020,3372,4192
gene:Smp_173000,16,71,6,14,17,82,68,38,46,32,43,39
gene:Smp_173010,7,14,2,12,46,76,33,214,1469,921,1435,1649
gene:Smp_173020,514,131,137,782,469,1380,830,811,852,694,649,711
gene:Smp_173060,2200,1446,796,1774,3242,4713,3369,8736,8463,7585,6871,8361
gene:Smp_173100,358,725,304,264,1358,1059,689,4176,3385,3655,3853,4696
gene:Smp_173110,116,1420,443,44,1780,311,164,9280,4904,4525,4280,4898
gene:Smp_173120,304,217,274,196,1108,791,491,1450,1241,1066,1092,1078
gene:Smp_173130,0,0,0,0,0,0,0,0,0,0,0,0
gene:Smp_173140,443,679,270,394,1246,520,442,2298,2442,2113,1623,2009
